REF_DATE1,REF_DATE2,DGUID1,DGUID2,DGUID3,UOM2,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE1,COORDINATE2,VALUE,SYMBOL,TERMINATED,DECIMALS,GEO_Alberta,GEO_British Columbia,GEO_Canada,GEO_Manitoba,GEO_New Brunswick,GEO_Newfoundland and Labrador,GEO_Northwest Territories,GEO_Northwest Territories including Nunavut,GEO_Nova Scotia,GEO_Nunavut,GEO_Ontario,GEO_Prince Edward Island,GEO_Quebec,GEO_Saskatchewan,GEO_Yukon,GEO_nan,Type of facility_Induced abortions,Type of facility_nan,UOM1_Number,UOM1_nan,UOM_ID_units,UOM_ID_nan,STATUS_-1,STATUS_..,STATUS_0,STATUS_1,STATUS_E,STATUS_F,STATUS_nan,clazz
1972,-1,-1,-1,-1,223,0,-1,19650568,13,2,8211,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0.0
1972,-1,-1,-1,-1,223,0,-1,19650537,3,1,38905,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0.0
1972,-1,-1,-1,-1,223,0,-1,19650538,3,2,38905,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0.0
1972,-1,-1,-1,-1,223,0,-1,19650558,10,1,1198,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0.0
1972,-1,-1,-1,-1,223,0,-1,19650559,10,2,1198,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0.0
1972,-1,-1,-1,-1,223,0,-1,19650549,7,1,183,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0.0
1972,-1,-1,-1,-1,223,0,-1,19650550,7,2,183,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0.0
1972,-1,-1,-1,-1,223,0,-1,19650540,4,1,133,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0.0
1972,-1,-1,-1,-1,223,0,-1,19650541,4,2,133,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0.0
1972,-1,-1,-1,-1,223,0,-1,19650546,6,1,839,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0.0
1972,-1,-1,-1,-1,223,0,-1,19650547,6,2,839,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0.0
1972,-1,-1,-1,-1,223,0,-1,19650555,9,1,20314,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0.0
