REF_DATE1,REF_DATE2,DGUID1,DGUID3,UOM2,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE1,COORDINATE2,COORDINATE3,COORDINATE4,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,GEO_British Columbia,GEO_Canada,GEO_Manitoba,GEO_New Brunswick,GEO_Newfoundland and Labrador,GEO_Northwest Territories,GEO_Ontario,GEO_Prince Edward Island,GEO_Quebec,GEO_Saskatchewan,GEO_nan,DGUID2_A,DGUID2_nan,UOM1_Number,UOM1_nan,UOM_ID_units,UOM_ID_nan,clazz
2009,2010,2016,259,223,0,66462644,11,28488,0,0,0,0,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2009,2010,2016,11124,223,0,66462634,1,47058,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2009,2010,2016,246,223,0,66462641,8,1332,0,0,0,0,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2009,2010,2016,213,223,0,66462638,5,198,0,0,0,0,-1,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2009,2010,2016,210,223,0,66462635,2,573,0,0,0,0,-1,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2009,2010,2016,261,223,0,66462646,13,3141,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0.0
2009,2010,2016,235,223,0,66462640,7,5154,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0.0
2009,2010,2016,211,223,0,101878344,3,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.0
2009,2010,2016,224,223,0,66462639,6,4098,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2009,2010,2016,247,223,0,66462642,9,4068,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2010,2011,2016,259,223,0,66462644,11,29796,0,0,0,0,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2010,2011,2016,11124,223,0,66462634,1,50118,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2010,2011,2016,246,223,0,66462641,8,1218,0,0,0,0,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2010,2011,2016,213,223,0,66462638,5,126,0,0,0,0,-1,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2010,2011,2016,210,223,0,66462635,2,621,0,0,0,0,-1,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2010,2011,2016,261,223,0,66462646,13,2742,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0.0
2010,2011,2016,235,223,0,66462640,7,5265,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0.0
2010,2011,2016,211,223,0,101878344,3,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.0
2010,2011,2016,224,223,0,66462639,6,4212,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2010,2011,2016,247,223,0,66462642,9,6135,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2011,2012,2016,259,223,0,66462644,11,29619,0,0,0,0,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2011,2012,2016,11124,223,0,66462634,1,44982,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2011,2012,2016,246,223,0,66462641,8,1209,0,0,0,0,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2011,2012,2016,213,223,0,66462638,5,180,0,0,0,0,-1,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2011,2012,2016,210,223,0,66462635,2,606,0,0,0,0,-1,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2011,2012,2016,261,223,0,66462646,13,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0.0
2011,2012,2016,235,223,0,66462640,7,5379,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0.0
