REF_DATE1,REF_DATE2,DGUID1,DGUID3,Source of funding,UOM2,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE1,COORDINATE2,COORDINATE3,COORDINATE4,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,GEO_Alberta,GEO_British Columbia,GEO_Canada,GEO_Manitoba,GEO_New Brunswick,GEO_Newfoundland and Labrador,GEO_Northwest Territories,GEO_Nova Scotia,GEO_Nunavut,GEO_Ontario,GEO_Prince Edward Island,GEO_Quebec,GEO_Saskatchewan,GEO_Yukon,GEO_nan,DGUID2_A,DGUID2_nan,Functions of expenditures_All ownerships,Functions of expenditures_Private,Functions of expenditures_Public,Functions of expenditures_nan,UOM1_Dollars,UOM1_nan,UOM_ID_millions,UOM_ID_nan,clazz
2018,-1,2016,248,-1,81,6,-1,1145993193,10,1,10,4,4.3,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145993235,10,1,10,5,242.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145993277,10,1,11,1,25.9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145993319,10,1,11,2,0.1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145993361,10,1,11,3,1.0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145993403,10,1,11,4,4.0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145993445,10,1,11,5,20.7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145993487,10,1,18,1,0.0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145993529,10,1,18,2,0.0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145993571,10,1,18,3,0.0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145993613,10,1,18,4,0.0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145993655,10,1,18,5,0.0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145993697,10,1,12,1,336.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145993739,10,1,12,2,1.4,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145993781,10,1,12,3,257.4,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145993823,10,1,12,4,32.6,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145993865,10,1,12,5,44.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145993907,10,1,20,1,0.0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145993949,10,1,20,2,0.0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145993991,10,1,20,3,0.0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145994033,10,1,20,4,0.0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145994075,10,1,20,5,0.0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145994117,10,1,13,1,615.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145994159,10,1,13,2,76.5,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145994201,10,1,13,3,205.3,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145994243,10,1,13,4,159.1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145994285,10,1,13,5,174.1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145994327,10,1,15,1,2508.8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145994369,10,1,15,2,2.9,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145994411,10,1,15,3,3.1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145994453,10,1,15,4,0.3,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145994495,10,1,15,5,2502.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145994537,10,1,16,1,364.2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145994579,10,1,16,2,2.1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145994621,10,1,16,3,7.0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145994663,10,1,16,4,0.0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145994705,10,1,16,5,355.1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145994747,10,1,17,1,1733.8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145994789,10,1,17,2,6.3,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145994831,10,1,17,3,0.0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145994873,10,1,17,4,7.7,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145994915,10,1,17,5,1719.8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145990729,10,3,1,1,0.0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0.0
