REF_DATE1,DGUID1,DGUID3,UOM1,UOM_ID,SCALAR_ID,VECTOR,COORDINATE1,COORDINATE2,STATUS,SYMBOL,TERMINATED,DECIMALS,REF_DATE2_Alberta,REF_DATE2_British Columbia,REF_DATE2_Canada,REF_DATE2_Manitoba,REF_DATE2_New Brunswick,REF_DATE2_Newfoundland and Labrador,REF_DATE2_Nova Scotia,REF_DATE2_Ontario,REF_DATE2_Prince Edward Island,REF_DATE2_Quebec,REF_DATE2_Saskatchewan,REF_DATE2_nan,GEO_Rate,GEO_nan,DGUID2_A,DGUID2_nan,North American Industry Classification System_Rate,North American Industry Classification System_nan,UOM2_Number,UOM2_nan,SCALAR_FACTOR_units,SCALAR_FACTOR_nan,clazz
2001,2016,210,112930,223,0,62729462,2.19,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,112991,223,0,62729463,2.2,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,112999,223,0,62729464,2.21,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,211,111110,223,0,62729509,3.23,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,211,111120,223,0,62729510,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,211,1111,223,0,62729508,3.22,57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,211,111130,223,0,62729511,3.25,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,211,111140,223,0,62729512,3.26,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,211,111150,223,0,62729513,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,211,111190,223,0,62729514,3.28,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,211,111211,223,0,62729516,3.3,358,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,211,111219,223,0,62729517,3.31,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,211,1112,223,0,62729515,3.29,403,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,211,1113,223,0,62729518,3.32,108,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,211,111411,223,0,62729520,3.34,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,211,111419,223,0,62729521,3.35,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,211,111421,223,0,62729522,3.36,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
