1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,TARGET ,indic_eu_T2020_30,indic_eu_nan,geo\time_AT,geo\time_BE,geo\time_BG,geo\time_CH,geo\time_CY,geo\time_CZ,geo\time_DE,geo\time_DK,geo\time_EE,geo\time_EL,geo\time_ES,geo\time_EU27_2007,geo\time_EU27_2020,geo\time_EU28,geo\time_FI,geo\time_FR,geo\time_HR,geo\time_HU,geo\time_IE,geo\time_IS,geo\time_IT,geo\time_LI,geo\time_LT,geo\time_LU,geo\time_LV,geo\time_MT,geo\time_NL,geo\time_NO,geo\time_PL,geo\time_PT,geo\time_RO,geo\time_SE,geo\time_SI,geo\time_SK,geo\time_TR,geo\time_UK,geo\time_nan,clazz
100,105.02,103.12,104.21,98.72,81.12,81.97,77.92,72.38,76.79,80.86,85.18,91.74,95.46,106.83,108.82,106.9,103.13,102.29,97.71,102.38,100.82,98.04,93.98,91.21,88.67,87.98,90.88,94.16,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
100,93.21,74.47,61.61,54.32,49.15,49.37,47.26,45.33,42.37,39.99,42.16,42.07,42.89,42.89,43.7,45.6,47.48,45.89,43.38,47.6,44.62,43.97,43.76,43.26,43.41,43.55,43.94,45.95,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
100,94.33,98.93,120.34,114.65,108.09,112.4,113.55,111.88,115.34,112.59,115.36,116.5,126.68,122.87,117.04,119.32,123.35,121.73,114.59,118.84,119.43,126.67,115.91,118.0,94.18,83.84,93.45,96.14,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
100,103.5,104.14,104.7,105.22,105.72,110.75,107.41,107.89,102.23,101.52,101.59,100.84,101.07,102.08,99.72,97.55,96.93,96.71,93.84,99.0,92.95,91.04,90.96,87.73,91.63,91.57,90.78,88.58,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
100,95.55,92.44,96.04,99.58,100.15,106.08,106.22,106.63,108.71,107.49,109.7,107.47,108.47,109.41,108.09,108.36,111.6,108.85,104.16,108.91,107.51,106.76,106.79,106.9,107.5,105.65,103.74,103.18,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
100,97.49,94.85,94.81,93.62,94.07,97.01,94.86,88.47,86.03,83.4,83.17,81.13,83.95,85.12,85.21,88.49,88.45,87.17,83.13,87.1,86.9,85.35,84.64,82.02,82.73,84.56,87.7,87.42,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
100,103.29,110.0,107.32,109.04,116.93,112.99,118.44,126.62,140.3,139.11,138.37,145.6,137.06,142.52,146.22,138.51,134.95,131.1,125.57,118.96,116.78,113.69,110.69,110.82,118.01,115.32,123.78,118.9,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
100,82.41,77.22,73.54,72.63,75.51,76.32,74.18,67.21,59.63,57.71,58.91,59.98,61.97,61.51,61.0,61.33,62.32,60.42,51.64,50.11,52.03,50.66,46.83,46.96,47.08,46.29,47.39,46.84,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
100,99.99,99.1,99.98,103.61,102.81,108.34,101.56,102.36,98.38,96.6,97.65,98.26,98.72,98.23,94.55,94.13,92.85,89.94,83.56,91.82,86.07,82.01,79.79,77.4,77.11,76.99,76.52,75.28,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
100,92.78,93.28,94.34,96.46,100.18,103.62,105.6,104.3,101.02,102.4,107.35,108.27,106.77,108.33,109.96,110.92,111.92,115.86,105.09,105.2,105.23,102.21,98.51,89.22,90.18,94.69,93.47,94.35,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
100,87.19,79.46,74.89,71.69,72.5,72.36,72.27,71.44,69.64,67.05,70.14,68.28,68.59,69.79,69.87,69.76,67.4,68.13,62.24,63.25,62.3,58.85,58.39,55.6,57.04,57.72,59.31,59.16,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
100,103.43,106.3,109.72,106.89,113.03,122.05,127.32,128.12,126.94,136.58,128.18,131.26,140.07,144.45,154.82,164.3,179.69,178.53,182.29,184.06,197.64,206.89,203.73,212.97,219.97,231.2,243.2,242.38,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
100,101.13,98.76,96.52,95.52,94.86,97.69,94.73,94.87,91.4,91.7,91.98,89.5,90.47,90.4,89.73,88.89,87.38,84.8,77.67,79.33,73.68,75.63,73.97,69.03,66.9,63.76,62.7,61.59,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
